DE;MUN;DESC TIPOCLASSE;SERIE;GRAU;COD_ESCOLA;ESCOLA;CLASSES;ALUNOS
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;45512;NEUZA MARIA NAZATTO DE CARVALHO PROFA;3;10
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;903802;GUIOMAR DIAS DA SILVA PROFA;3;16
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;919160;LAURA EMMIE PYLES PROFA;1;6
ANDRADINA;ANDRADINA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;29373;ALVARO GUIAO DR;2;6
APIAI;RIBEIRAO BRANCO;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;14369;LUIZ JOSE DIAS PROF;3;8
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;29890;GENESIO DE ASSIS PROF;1;2
ADAMANTINA;PRACINHA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;30831;TAIEKA TAKAHASHI GIMENES PROFA;1;4
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;17322;JOAO SOLIDARIO PEDROSO PROF;1;2
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;39822;HELOIZA THEREZINHA MURBACH LACAVA PROFA;4;18
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;903796;DIRCEU DIAS CARNEIRO;4;21
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;21854;BENTO DE ABREU;2;6
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;21854;BENTO DE ABREU;2;5
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;38866;SYLVIA NOEMIA DE ALBUQUERQUE MARTINS PROFA;2;4
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;46848;ROSARIA JANUZZI PROFA;2;5
ANDRADINA;ILHA SOLTEIRA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;30740;ARNO HAUSSER;3;15
ANDRADINA;MURUTINGA DO SUL;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;29634;ANCHIETA PADRE;1;5
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;29798;MANOEL BENTO DA CRUZ;2;5
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;30016;VANIOLE DIONYSIO MARQUES PAVAN PROFA;4;28
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DA ED. ESPECIAL ITINERANTE;ESPECTRO DO AUTISMO;39;919160;LAURA EMMIE PYLES PROFA;1;1
APIAI;GUAPIARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;14333;JOAO ANTUNES ALEXANDRE;3;7
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;ESPECTRO DO AUTISMO;39;48215;LEOPOLDO LEME VERNECK;1;1
APIAI;GUAPIARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;913546;ANTÔNIO DRAGONE;2;4
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;17085;ANTONIO DE ARRUDA RIBEIRO PROF;1;3
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;47016;ALCHESTE DE GODOY ANDIA PROFA;3;15
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;38878;JOAO PEDRO DO NASCIMENTO PROF;2;3
APIAI;RIBEIRA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;48239;JULIA DA SILVEIRA MELLO PROFA;1;2
APIAI;ITAOCA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;41452;ANEZIA AMORIM MARTINS PROFA;1;1
APIAI;ITAPIRAPUA PAULISTA;CLASSE DA ED. ESPECIAL ITINERANTE;ESPECTRO DO AUTISMO;39;912037;MARIA BERNARDETI FERNANDES RODRIGUES PROFA;1;1
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;30053;MARIA APPARECIDA BALTHAZAR POCO PROFA;2;8
ARACATUBA;ARACATUBA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;30089;JOUBERT DE CARVALHO DR;1;3
APIAI;GUAPIARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;14394;THEREZINHA SACCOMANO PASSARO PROFA;1;1
APIAI;GUAPIARA;CLASSE DA ED. ESPECIAL ITINERANTE;ESPECTRO DO AUTISMO;39;14394;THEREZINHA SACCOMANO PASSARO PROFA;1;1
APIAI;RIBEIRA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;14312;DIOGENES RIBEIRO DE LIMA;1;2
APIAI;RIBEIRA;CLASSE DE SALA DE RECURSO;ESPECTRO DO AUTISMO;39;14312;DIOGENES RIBEIRO DE LIMA;1;1
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;29798;MANOEL BENTO DA CRUZ;1;8
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;909257;ARTHUR LEITE CARRIJO PROF;3;13
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;47612;SILVESTRE AUGUSTO DO NASCIMENTO;2;5
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;920575;CONJUNTO HABITACIONAL EZEQUIEL BARBOSA;3;14
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;924611;ARY BOCUHY PROF;2;11
ARACATUBA;VALPARAISO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DV;10;29981;VICENTE BARBOSA;1;1
ANDRADINA;PEREIRA BARRETO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;30703;AGNES LIEDTKE;7;37
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;14357;REGINA DIAS ANTUNES DA SILVA PROFA;4;9
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;14370;ANTONIA BAPTISTA CALAZANS LUZ PROFA;1;3
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;ESPECTRO DO AUTISMO;39;38878;JOAO PEDRO DO NASCIMENTO PROF;1;1
ARACATUBA;GUARARAPES;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DA;7;30041;WALDEMAR QUEIROZ PROF;1;2
ARACATUBA;GUARARAPES;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;30041;WALDEMAR QUEIROZ PROF;2;9
APIAI;RIBEIRAO BRANCO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;38885;ABDIEL LOPES MONTEIRO PROF;2;9
APIAI;RIBEIRAO BRANCO;CLASSE DA ED. ESPECIAL ITINERANTE;ESPECTRO DO AUTISMO;39;913571;PAULINA DE MORAIS PROFA;1;1
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;919779;VERA LUCIA COSMO LUCENA PROFESSORA;1;1
APIAI;BARRA DO CHAPEU;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;913522;JAIME DE OLIVEIRA PROF;1;1
ARACATUBA;ARACATUBA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;29737;LICOLINA VILLELA REIS ALVES PROFA;1;3
ARACATUBA;ARACATUBA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;29804;VITOR ANTONIO TRINDADE PROF;2;3
ARARAQUARA;ARARAQUARA;CLASSE DA ED. ESPECIAL ITINERANTE;ESPECTRO DO AUTISMO;39;21891;GERALDO HONORATO AZZI SACHS PROF;1;1
ARARAQUARA;ARARAQUARA;CLASSE DA ED. ESPECIAL ITINERANTE;ESPECTRO DO AUTISMO;39;22123;LETICIA DE GODOY BUENO DE CARVALHO LOPES PROFA;1;1
AMERICANA;AMERICANA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;435442;MARIA FRIZZARIN PROFA;2;5
AMERICANA;SANTA BARBARA D'OESTE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;913625;JADYR GUIMARAES CASTRO PROFA;3;17
ANDRADINA;SUD MENNUCCI;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;30673;CICERO CASTILHO CUNHA;2;9
APIAI;APIAI;CLASSE DA ED. ESPECIAL ITINERANTE;ESPECTRO DO AUTISMO;39;912013;JULIA RIBEIRO BRETAS PROFA;1;1
ARACATUBA;VALPARAISO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;29981;VICENTE BARBOSA;3;15
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;21970;VICTOR LACORTE PROF;3;14
ANDRADINA;PEREIRA BARRETO;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;30570;MITSUSADA UMETANI DR;4;19
APIAI;GUAPIARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;43369;LUIZ PAGLIATO;2;3
APIAI;GUAPIARA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;913534;TOSHIMARO KACUTA COMENDADOR;1;1
APIAI;ITAOCA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DM;9;48203;CACILDA LAGES PEREIRA CAVANI PROFA;1;2
ARARAQUARA;AMERICO BRASILIENSE;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DM;9;42778;ALZIRA DIAS DE TOLEDO PIZA PROFA;4;13
ARARAQUARA;ARARAQUARA;CLASSE DE SALA DE RECURSO;EDUCAÇÃO ESPECIAL - DV;10;21854;BENTO DE ABREU;4;19
ARACATUBA;ARACATUBA;CLASSE DA ED. ESPECIAL ITINERANTE;EDUCAÇÃO ESPECIAL - DF;8;30089;JOUBERT DE CARVALHO DR;1;1
